code_insee,nom_commune
75056,PARIS
77001,ACHÈRES-LA-FORÊT
77002,AMILLIS
77003,AMPONVILLE
77004,ANDREZEL
77005,ANNET-SUR-MARNE
77006,ARBONNE-LA-FORÊT
77007,ARGENTIÈRES
77008,ARMENTIÈRES-EN-BRIE
77009,ARVILLE
77010,AUBEPIERRE-OZOUER-LE-REPOS
77011,AUFFERVILLE
77012,AUGERS-EN-BRIE
77013,AULNOY
77014,AVON
77015,BABY
77016,BAGNEAUX-SUR-LOING
77018,BAILLY-ROMAINVILLIERS
77019,BALLOY
77020,BANNOST-VILLEGAGNON
77021,BARBEY
77022,BARBIZON
77023,BARCY
77024,BASSEVELLE
77025,BAZOCHES-LÈS-BRAY
77026,BEAUCHERY-SAINT-MARTIN
77027,BEAUMONT-DU-GÂTINAIS
77029,BEAUVOIR
77030,BELLOT
77031,BERNAY-VILBERT
77032,BETON-BAZOCHES
77033,BEZALLES
77034,BLANDY
77035,BLENNES
77036,BOISDON
77037,BOIS-LE-ROI
77038,BOISSETTES
77039,BOISSISE-LA-BERTRAND
77040,BOISSISE-LE-ROI
77041,BOISSY-AUX-CAILLES
77042,BOISSY-LE-CHÂTEL
77043,BOITRON
77044,BOMBON
77045,BOUGLIGNY
77046,BOULANCOURT
77047,BOULEURS
77048,BOURRON-MARLOTTE
77049,BOUTIGNY
77050,BRANSLES
77051,BRAY-SUR-SEINE
77052,BRÉAU
77053,BRIE-COMTE-ROBERT
77054,LA BROSSE-MONTCEAUX
77055,BROU-SUR-CHANTEREINE
77056,BURCY
77057,BUSSIÈRES
77058,BUSSY-SAINT-GEORGES
77059,BUSSY-SAINT-MARTIN
77060,BUTHIERS
77061,CANNES-ÉCLUSE
77062,CARNETIN
77063,LA CELLE-SUR-MORIN
77065,CÉLY
77066,CERNEUX
77067,CESSON
77068,CESSOY-EN-MONTOIS
77069,CHAILLY-EN-BIÈRE
77070,CHAILLY-EN-BRIE
77071,CHAINTREAUX
77072,CHALAUTRE-LA-GRANDE
77073,CHALAUTRE-LA-PETITE
77075,CHALIFERT
77076,CHALMAISON
77077,CHAMBRY
77078,CHAMIGNY
77079,CHAMPAGNE-SUR-SEINE
77080,CHAMPCENEST
77081,CHAMPDEUIL
77082,CHAMPEAUX
77083,CHAMPS-SUR-MARNE
77084,CHANGIS-SUR-MARNE
77085,CHANTELOUP-EN-BRIE
77086,LA CHAPELLE-GAUTHIER
77087,LA CHAPELLE-IGER
77088,LA CHAPELLE-LA-REINE
77089,LA CHAPELLE-RABLAIS
77090,LA CHAPELLE-SAINT-SULPICE
